"date","state","positive"
2020-03-02,Московская область,1
2020-03-03,Московская область,1
2020-03-04,Московская область,1
2020-03-05,Московская область,1
2020-03-06,Москва,5
2020-03-06,Московская область,1
2020-03-06,Нижегородская область,1
2020-03-07,Москва,5
2020-03-07,Липецкая область,3
2020-03-07,Нижегородская область,1
2020-03-07,Московская область,1
2020-03-07,Санкт-Петербург,1
2020-03-08,Калининградская область,1
2020-03-08,Липецкая область,3
2020-03-08,Москва,5
2020-03-08,Нижегородская область,1
2020-03-08,Белгородская область,1
2020-03-08,Московская область,2
2020-03-08,Санкт-Петербург,1
2020-03-09,Москва,8
2020-03-09,Липецкая область,3
2020-03-09,Нижегородская область,1
2020-03-09,Калининградская область,1
2020-03-09,Белгородская область,1
2020-03-09,Московская область,2
2020-03-09,Санкт-Петербург,1
2020-03-10,Липецкая область,3
2020-03-10,Нижегородская область,1
2020-03-10,Белгородская область,1
2020-03-10,Московская область,2
2020-03-10,Москва,11
2020-03-10,Санкт-Петербург,1
2020-03-10,Калининградская область,1
2020-03-11,Калининградская область,1
2020-03-11,Московская область,4
2020-03-11,Санкт-Петербург,1
2020-03-11,Липецкая область,3
2020-03-11,Нижегородская область,1
2020-03-11,Москва,17
2020-03-11,Белгородская область,1
2020-03-12,Московская область,4
2020-03-12,Санкт-Петербург,1
2020-03-12,Москва,21
2020-03-12,Краснодарский край,1
2020-03-12,Калининградская область,2
2020-03-12,Липецкая область,3
2020-03-12,Нижегородская область,1
2020-03-12,Белгородская область,1
2020-03-13,Нижегородская область,1
2020-03-13,Белгородская область,1
2020-03-13,Пермский край,1
2020-03-13,Московская область,5
2020-03-13,Санкт-Петербург,4
2020-03-13,Ленинградская область,1
2020-03-13,Краснодарский край,1
2020-03-13,Липецкая область,3
2020-03-13,Калининградская область,2
2020-03-13,Москва,26
2020-03-14,Нижегородская область,1
2020-03-14,Белгородская область,1
2020-03-14,Московская область,6
2020-03-14,Пермский край,1
2020-03-14,Кемеровская область (Кузбасс),2
2020-03-14,Калининградская область,3
2020-03-14,Москва,35
2020-03-14,Ленинградская область,1
2020-03-14,Санкт-Петербург,5
2020-03-14,Липецкая область,3
2020-03-14,Краснодарский край,1
2020-03-15,Ленинградская область,1
2020-03-15,Кемеровская область (Кузбасс),2
2020-03-15,Нижегородская область,1
2020-03-15,Калининградская область,3
2020-03-15,Липецкая область,3
2020-03-15,Белгородская область,1
2020-03-15,Краснодарский край,1
2020-03-15,Санкт-Петербург,5
2020-03-15,Москва,35
2020-03-15,Пермский край,1
2020-03-15,Московская область,9
2020-03-15,Тюменская область,1
2020-03-16,Ленинградская область,1
2020-03-16,Нижегородская область,1
2020-03-16,Москва,53
2020-03-16,Белгородская область,1
2020-03-16,Краснодарский край,1
2020-03-16,Республика Коми,1
2020-03-16,Липецкая область,3
2020-03-16,Кировская область,1
2020-03-16,Санкт-Петербург,8
2020-03-16,Забайкальский край,1
2020-03-16,Кемеровская область (Кузбасс),2
2020-03-16,Пермский край,2
2020-03-16,Тюменская область,2
2020-03-16,Калининградская область,3
2020-03-16,Самарская область,3
2020-03-16,Московская область,10
2020-03-17,Республика Татарстан,1
2020-03-17,Калужская область,1
2020-03-17,Красноярский край,1
2020-03-17,Краснодарский край,1
2020-03-17,Тверская область,2
2020-03-17,Липецкая область,3
2020-03-17,Республика Коми,1
2020-03-17,Свердловская область,1
2020-03-17,Кемеровская область (Кузбасс),2
2020-03-17,Санкт-Петербург,9
2020-03-17,Пензенская область,1
2020-03-17,Кировская область,1
2020-03-17,Нижегородская область,2
2020-03-17,Тамбовская область,1
2020-03-17,Белгородская область,1
2020-03-17,Калининградская область,5
2020-03-17,Самарская область,5
2020-03-17,Архангельская область,1
2020-03-17,Москва,55
2020-03-17,Тюменская область,2
2020-03-17,Московская область,12
2020-03-17,Забайкальский край,1
2020-03-17,Ярославская область,1
2020-03-17,Пермский край,2
2020-03-17,Ленинградская область,1
2020-03-17,Республика Хакасия,1
2020-03-18,Новосибирская область,1
2020-03-18,Республика Татарстан,1
2020-03-18,Калужская область,1
2020-03-18,Красноярский край,1
2020-03-18,Калининградская область,5
2020-03-18,Республика Коми,1
2020-03-18,Москва,86
2020-03-18,Томская область,1
2020-03-18,Липецкая область,3
2020-03-18,Свердловская область,1
2020-03-18,Краснодарский край,1
2020-03-18,Тверская область,2
2020-03-18,Нижегородская область,2
2020-03-18,Пензенская область,1
2020-03-18,Кировская область,1
2020-03-18,Санкт-Петербург,9
2020-03-18,Белгородская область,1
2020-03-18,Тамбовская область,1
2020-03-18,Архангельская область,1
2020-03-18,Московская область,12
2020-03-18,Тюменская область,2
2020-03-18,Самарская область,5
2020-03-18,Республика Хакасия,1
2020-03-18,Ленинградская область,1
2020-03-18,Ярославская область,1
2020-03-18,Кемеровская область (Кузбасс),2
2020-03-18,Пермский край,2
2020-03-18,Забайкальский край,1
2020-03-19,Кировская область,3
2020-03-19,Пензенская область,1
2020-03-19,Санкт-Петербург,10
2020-03-19,Нижегородская область,3
2020-03-19,Мурманская область,1
2020-03-19,Москва,98
2020-03-19,Тульская область,3
2020-03-19,Кемеровская область (Кузбасс),2
2020-03-19,Тамбовская область,3
2020-03-19,Белгородская область,1
2020-03-19,Московская область,17
2020-03-19,Рязанская область,1
2020-03-19,Оренбургская область,1
2020-03-19,Тюменская область,2
2020-03-19,Самарская область,5
2020-03-19,Архангельская область,1
2020-03-19,Республика Хакасия,1
2020-03-19,Воронежская область,2
2020-03-19,Забайкальский край,1
2020-03-19,Ленинградская область,1
2020-03-19,Республика Саха (Якутия),1
2020-03-19,Ярославская область,1
2020-03-19,Ивановская область,1
2020-03-19,Красноярский край,4
2020-03-19,Новосибирская область,2
2020-03-19,Калужская область,1
2020-03-19,Республика Татарстан,1
2020-03-19,Чувашская Республика,1
2020-03-19,Саратовская область,1
2020-03-19,Республика Коми,1
2020-03-19,Томская область,1
2020-03-19,Липецкая область,3
2020-03-19,Хабаровский край,3
2020-03-19,Свердловская область,6
2020-03-19,Краснодарский край,3
2020-03-19,Тверская область,3
2020-03-19,Калининградская область,5
2020-03-19,Ханты-Мансийский автономный округ - Югра,1
2020-03-19,Пермский край,3
2020-03-20,Тульская область,3
2020-03-20,Мурманская область,1
2020-03-20,Санкт-Петербург,14
2020-03-20,Кировская область,5
2020-03-20,Пензенская область,1
2020-03-20,Нижегородская область,3
2020-03-20,Тамбовская область,3
2020-03-20,Белгородская область,1
2020-03-20,Самарская область,9
2020-03-20,Тюменская область,3
2020-03-20,Архангельская область,1
2020-03-20,Рязанская область,1
2020-03-20,Оренбургская область,1
2020-03-20,Московская область,18
2020-03-20,Забайкальский край,1
2020-03-20,Ярославская область,1
2020-03-20,Республика Хакасия,1
2020-03-20,Ленинградская область,1
2020-03-20,Калининградская область,5
2020-03-20,Воронежская область,2
2020-03-20,Красноярский край,4
2020-03-20,Калужская область,1
2020-03-20,Ивановская область,1
2020-03-20,Республика Татарстан,1
2020-03-20,Новосибирская область,4
2020-03-20,Москва,131
2020-03-20,Чувашская Республика,1
2020-03-20,Саратовская область,1
2020-03-20,Кемеровская область (Кузбасс),2
2020-03-20,Ханты-Мансийский автономный округ - Югра,1
2020-03-20,Свердловская область,6
2020-03-20,Краснодарский край,3
2020-03-20,Тверская область,3
2020-03-20,Ульяновская область,1
2020-03-20,Томская область,1
2020-03-20,Хабаровский край,3
2020-03-20,Липецкая область,3
2020-03-20,Республика Коми,1
2020-03-20,Республика Саха (Якутия),7
2020-03-20,Пермский край,3
2020-03-21,Тамбовская область,3
2020-03-21,Свердловская область,9
2020-03-21,Ульяновская область,1
2020-03-21,Кемеровская область (Кузбасс),2
2020-03-21,Челябинская область,1
2020-03-21,Москва,137
2020-03-21,Мурманская область,1
2020-03-21,Тульская область,5
2020-03-21,Пензенская область,1
2020-03-21,Кабардино-Балкарская Республика,2
2020-03-21,Кировская область,5
2020-03-21,Санкт-Петербург,16
2020-03-21,Калининградская область,7
2020-03-21,Забайкальский край,1
2020-03-21,Республика Хакасия,1
2020-03-21,Республика Татарстан,6
2020-03-21,Новосибирская область,4
2020-03-21,Тюменская область,3
2020-03-21,Чувашская Республика,1
2020-03-21,Самарская область,9
2020-03-21,Ханты-Мансийский автономный округ - Югра,2
2020-03-21,Саратовская область,1
2020-03-21,Рязанская область,2
2020-03-21,Московская область,35
2020-03-21,Республика Крым,1
2020-03-21,Оренбургская область,1
2020-03-21,Архангельская область,1
2020-03-21,Калужская область,1
2020-03-21,Красноярский край,5
2020-03-21,Ивановская область,1
2020-03-21,Республика Саха (Якутия),7
2020-03-21,Воронежская область,2
2020-03-21,Ярославская область,1
2020-03-21,Ленинградская область,1
2020-03-21,Нижегородская область,7
2020-03-21,Ставропольский край,1
2020-03-21,Курганская область,1
2020-03-21,Тверская область,3
2020-03-21,Краснодарский край,5
2020-03-21,Белгородская область,1
2020-03-21,Республика Коми,1
2020-03-21,Пермский край,3
2020-03-21,Хабаровский край,4
2020-03-21,Липецкая область,3
2020-03-21,Томская область,1
2020-03-22,Свердловская область,9
2020-03-22,Челябинская область,1
2020-03-22,Тамбовская область,3
2020-03-22,Ульяновская область,1
2020-03-22,Ханты-Мансийский автономный округ - Югра,2
2020-03-22,Санкт-Петербург,16
2020-03-22,Пензенская область,1
2020-03-22,Кировская область,7
2020-03-22,Тульская область,5
2020-03-22,Республика Саха (Якутия),7
2020-03-22,Мурманская область,1
2020-03-22,Кабардино-Балкарская Республика,2
2020-03-22,Республика Хакасия,1
2020-03-22,Забайкальский край,1
2020-03-22,Новосибирская область,4
2020-03-22,Республика Татарстан,6
2020-03-22,Брянская область,1
2020-03-22,Московская область,35
2020-03-22,Рязанская область,2
2020-03-22,Чувашская Республика,1
2020-03-22,Самарская область,9
2020-03-22,Тюменская область,3
2020-03-22,Новгородская область,1
2020-03-22,Саратовская область,1
2020-03-22,Кемеровская область (Кузбасс),2
2020-03-22,Республика Крым,1
2020-03-22,Архангельская область,2
2020-03-22,Оренбургская область,1
2020-03-22,Москва,191
2020-03-22,Удмуртская Республика,2
2020-03-22,Калининградская область,7
2020-03-22,Ленинградская область,1
2020-03-22,Ярославская область,1
2020-03-22,Ивановская область,1
2020-03-22,Калужская область,1
2020-03-22,Красноярский край,5
2020-03-22,Воронежская область,2
2020-03-22,Нижегородская область,7
2020-03-22,Липецкая область,3
2020-03-22,Хабаровский край,4
2020-03-22,Томская область,1
2020-03-22,Республика Коми,1
2020-03-22,Ставропольский край,1
2020-03-22,Тверская область,3
2020-03-22,Краснодарский край,5
2020-03-22,Белгородская область,1
2020-03-22,Пермский край,3
2020-03-22,Курганская область,1
2020-03-23,Пермский край,3
2020-03-23,Ульяновская область,1
2020-03-23,Тверская область,3
2020-03-23,Краснодарский край,5
2020-03-23,Челябинская область,1
2020-03-23,Курганская область,1
2020-03-23,Республика Коми,1
2020-03-23,Липецкая область,3
2020-03-23,Хабаровский край,4
2020-03-23,Томская область,1
2020-03-23,Свердловская область,9
2020-03-23,Кабардино-Балкарская Республика,2
2020-03-23,Республика Крым,1
2020-03-23,Новгородская область,1
2020-03-23,Калининградская область,7
2020-03-23,Саратовская область,1
2020-03-23,Чувашская Республика,1
2020-03-23,Ивановская область,1
2020-03-23,Новосибирская область,4
2020-03-23,Республика Татарстан,6
2020-03-23,Красноярский край,5
2020-03-23,Калужская область,1
2020-03-23,Воронежская область,2
2020-03-23,Забайкальский край,1
2020-03-23,Кемеровская область (Кузбасс),2
2020-03-23,Ленинградская область,1
2020-03-23,Ярославская область,1
2020-03-23,Брянская область,1
2020-03-23,Республика Хакасия,1
2020-03-23,Удмуртская Республика,2
2020-03-23,Оренбургская область,1
2020-03-23,Тюменская область,3
2020-03-23,Архангельская область,2
2020-03-23,Самарская область,9
2020-03-23,Московская область,35
2020-03-23,Ханты-Мансийский автономный округ - Югра,2
2020-03-23,Москва,262
2020-03-23,Рязанская область,2
2020-03-23,Тамбовская область,3
2020-03-23,Республика Саха (Якутия),7
2020-03-23,Белгородская область,1
2020-03-23,Ставропольский край,1
2020-03-23,Кировская область,7
2020-03-23,Пензенская область,1
2020-03-23,Санкт-Петербург,16
2020-03-23,Мурманская область,1
2020-03-23,Нижегородская область,7
2020-03-23,Тульская область,5
2020-03-24,Магаданская область,0
2020-03-24,Республика Тыва,0
2020-03-24,Амурская область,0
2020-03-24,Волгоградская область,1
2020-03-24,Республика Марий Эл,0
2020-03-24,Пермский край,3
2020-03-24,Кемеровская область (Кузбасс),2
2020-03-24,Республика Бурятия,0
2020-03-24,Иркутская область,0
2020-03-24,Республика Башкортостан,3
2020-03-24,Челябинская область,1
2020-03-24,Хабаровский край,4
2020-03-24,Липецкая область,5
2020-03-24,Ульяновская область,1
2020-03-24,Томская область,1
2020-03-24,Республика Коми,1
2020-03-24,Смоленская область,0
2020-03-24,Курганская область,1
2020-03-24,Москва,290
2020-03-24,Свердловская область,13
2020-03-24,Тверская область,3
2020-03-24,Краснодарский край,5
2020-03-24,Орловская область,2
2020-03-24,Курская область,0
2020-03-24,Республика Северная Осетия — Алания,0
2020-03-24,Республика Саха (Якутия),7
2020-03-24,Саратовская область,1
2020-03-24,Новгородская область,1
2020-03-24,Псковская область,0
2020-03-24,Кабардино-Балкарская Республика,2
2020-03-24,Севастополь,0
2020-03-24,Чувашская Республика,1
2020-03-24,Республика Крым,1
2020-03-24,Республика Татарстан,7
2020-03-24,Новосибирская область,4
2020-03-24,Красноярский край,5
2020-03-24,Калужская область,2
2020-03-24,Приморский край,2
2020-03-24,Астраханская область,0
2020-03-24,Ямало-Ненецкий автономный округ,0
2020-03-24,Ивановская область,1
2020-03-24,Республика Адыгея,0
2020-03-24,Ярославская область,1
2020-03-24,Республика Хакасия,1
2020-03-24,Костромская область,0
2020-03-24,Ленинградская область,3
2020-03-24,Республика Калмыкия,0
2020-03-24,Воронежская область,6
2020-03-24,Чеченская Республика,1
2020-03-24,Республика Ингушетия,0
2020-03-24,Брянская область,1
2020-03-24,Ненецкий автономный округ,0
2020-03-24,Удмуртская Республика,2
2020-03-24,Забайкальский край,1
2020-03-24,Чукотский автономный округ,0
2020-03-24,Омская область,0
2020-03-24,Рязанская область,2
2020-03-24,Архангельская область,2
2020-03-24,Сахалинская область,0
2020-03-24,Оренбургская область,1
2020-03-24,Московская область,35
2020-03-24,Самарская область,10
2020-03-24,Республика Карелия,0
2020-03-24,Тюменская область,3
2020-03-24,Алтайский край,0
2020-03-24,Республика Дагестан,0
2020-03-24,Белгородская область,1
2020-03-24,Республика Мордовия,0
2020-03-24,Камчатский край,0
2020-03-24,Калининградская область,7
2020-03-24,Ростовская область,0
2020-03-24,Владимирская область,0
2020-03-24,Ставропольский край,1
2020-03-24,Тамбовская область,3
2020-03-24,Нижегородская область,7
2020-03-24,Республика Алтай,0
2020-03-24,Еврейская автономная область,0
2020-03-24,Карачаево-Черкесская Республика,0
2020-03-24,Тульская область,5
2020-03-24,Вологодская область,0
2020-03-24,Мурманская область,1
2020-03-24,Санкт-Петербург,21
2020-03-24,Ханты-Мансийский автономный округ - Югра,2
2020-03-24,Кировская область,7
2020-03-24,Пензенская область,1
2020-03-25,Владимирская область,0
2020-03-25,Республика Саха (Якутия),10
2020-03-25,Республика Мордовия,0
2020-03-25,Республика Коми,3
2020-03-25,Республика Дагестан,0
2020-03-25,Белгородская область,1
2020-03-25,Томская область,1
2020-03-25,Хабаровский край,4
2020-03-25,Липецкая область,5
2020-03-25,Ставропольский край,2
2020-03-25,Курганская область,1
2020-03-25,Смоленская область,0
2020-03-25,Краснодарский край,9
2020-03-25,Орловская область,2
2020-03-25,Пермский край,5
2020-03-25,Тверская область,3
2020-03-25,Амурская область,0
2020-03-25,Республика Тыва,0
2020-03-25,Ханты-Мансийский автономный округ - Югра,2
2020-03-25,Нижегородская область,8
2020-03-25,Иркутская область,0
2020-03-25,Республика Бурятия,0
2020-03-25,Вологодская область,0
2020-03-25,Республика Калмыкия,0
2020-03-25,Карачаево-Черкесская Республика,0
2020-03-25,Республика Ингушетия,0
2020-03-25,Воронежская область,6
2020-03-25,Чеченская Республика,1
2020-03-25,Ярославская область,1
2020-03-25,Костромская область,0
2020-03-25,Ленинградская область,3
2020-03-25,Приморский край,2
2020-03-25,Калужская область,2
2020-03-25,Красноярский край,5
2020-03-25,Республика Адыгея,0
2020-03-25,Севастополь,0
2020-03-25,Ивановская область,1
2020-03-25,Еврейская автономная область,0
2020-03-25,Удмуртская Республика,2
2020-03-25,Республика Башкортостан,4
2020-03-25,Сахалинская область,0
2020-03-25,Оренбургская область,4
2020-03-25,Курская область,0
2020-03-25,Архангельская область,3
2020-03-25,Псковская область,4
2020-03-25,Республика Крым,7
2020-03-25,Новгородская область,1
2020-03-25,Саратовская область,1
2020-03-25,Рязанская область,2
2020-03-25,Московская область,41
2020-03-25,Калининградская область,8
2020-03-25,Тюменская область,3
2020-03-25,Республика Карелия,0
2020-03-25,Чувашская Республика,1
2020-03-25,Самарская область,10
2020-03-25,Республика Хакасия,1
2020-03-25,Республика Татарстан,7
2020-03-25,Новосибирская область,4
2020-03-25,Омская область,0
2020-03-25,Алтайский край,0
2020-03-25,Москва,410
2020-03-25,Брянская область,2
2020-03-25,Кемеровская область (Кузбасс),2
2020-03-25,Астраханская область,0
2020-03-25,Забайкальский край,1
2020-03-25,Республика Марий Эл,0
2020-03-25,Волгоградская область,1
2020-03-25,Магаданская область,0
2020-03-25,Республика Алтай,0
2020-03-25,Ненецкий автономный округ,0
2020-03-25,Ямало-Ненецкий автономный округ,0
2020-03-25,Мурманская область,1
2020-03-25,Тульская область,7
2020-03-25,Пензенская область,2
2020-03-25,Кировская область,7
2020-03-25,Чукотский автономный округ,0
2020-03-25,Санкт-Петербург,21
2020-03-25,Кабардино-Балкарская Республика,4
2020-03-25,Ульяновская область,1
2020-03-25,Камчатский край,0
2020-03-25,Челябинская область,2
2020-03-25,Ростовская область,1
2020-03-25,Республика Северная Осетия — Алания,0
2020-03-25,Тамбовская область,3
2020-03-25,Свердловская область,13
2020-03-26,Краснодарский край,9
2020-03-26,Орловская область,2
2020-03-26,Тверская область,3
2020-03-26,Белгородская область,1
2020-03-26,Калининградская область,8
2020-03-26,Республика Дагестан,0
2020-03-26,Республика Мордовия,0
2020-03-26,Курганская область,1
2020-03-26,Смоленская область,0
2020-03-26,Владимирская область,0
2020-03-26,Томская область,2
2020-03-26,Липецкая область,5
2020-03-26,Хабаровский край,5
2020-03-26,Республика Коми,3
2020-03-26,Пермский край,10
2020-03-26,Ставропольский край,5
2020-03-26,Нижегородская область,8
2020-03-26,Кемеровская область (Кузбасс),3
2020-03-26,Республика Бурятия,2
2020-03-26,Карачаево-Черкесская Республика,0
2020-03-26,Иркутская область,0
2020-03-26,Вологодская область,0
2020-03-26,Москва,546
2020-03-26,Республика Тыва,0
2020-03-26,Амурская область,0
2020-03-26,Ленинградская область,3
2020-03-26,Костромская область,0
2020-03-26,Республика Адыгея,0
2020-03-26,Ярославская область,1
2020-03-26,Ивановская область,1
2020-03-26,Чеченская Республика,1
2020-03-26,Ямало-Ненецкий автономный округ,0
2020-03-26,Воронежская область,6
2020-03-26,Приморский край,2
2020-03-26,Калужская область,2
2020-03-26,Красноярский край,8
2020-03-26,Республика Ингушетия,0
2020-03-26,Республика Калмыкия,0
2020-03-26,Удмуртская Республика,2
2020-03-26,Чукотский автономный округ,0
2020-03-26,Ненецкий автономный округ,0
2020-03-26,Севастополь,0
2020-03-26,Республика Крым,7
2020-03-26,Архангельская область,3
2020-03-26,Ханты-Мансийский автономный округ - Югра,4
2020-03-26,Сахалинская область,0
2020-03-26,Оренбургская область,4
2020-03-26,Псковская область,6
2020-03-26,Курская область,0
2020-03-26,Самарская область,12
2020-03-26,Саратовская область,1
2020-03-26,Кабардино-Балкарская Республика,4
2020-03-26,Республика Саха (Якутия),14
2020-03-26,Тюменская область,3
2020-03-26,Новгородская область,1
2020-03-26,Республика Карелия,0
2020-03-26,Московская область,41
2020-03-26,Республика Северная Осетия — Алания,0
2020-03-26,Рязанская область,2
2020-03-26,Чувашская Республика,1
2020-03-26,Забайкальский край,1
2020-03-26,Новосибирская область,5
2020-03-26,Республика Татарстан,10
2020-03-26,Брянская область,2
2020-03-26,Омская область,0
2020-03-26,Астраханская область,0
2020-03-26,Алтайский край,0
2020-03-26,Республика Хакасия,2
2020-03-26,Санкт-Петербург,26
2020-03-26,Еврейская автономная область,0
2020-03-26,Пензенская область,2
2020-03-26,Кировская область,7
2020-03-26,Магаданская область,0
2020-03-26,Тульская область,7
2020-03-26,Волгоградская область,1
2020-03-26,Республика Марий Эл,0
2020-03-26,Мурманская область,1
2020-03-26,Республика Алтай,0
2020-03-26,Челябинская область,5
2020-03-26,Тамбовская область,3
2020-03-26,Республика Башкортостан,4
2020-03-26,Ульяновская область,1
2020-03-26,Свердловская область,20
2020-03-26,Ростовская область,1
2020-03-26,Камчатский край,0
2020-03-27,Самарская область,14
2020-03-27,Пермский край,10
2020-03-27,Республика Карелия,0
2020-03-27,Тюменская область,3
2020-03-27,Чувашская Республика,1
2020-03-27,Еврейская автономная область,0
2020-03-27,Рязанская область,2
2020-03-27,Новгородская область,1
2020-03-27,Саратовская область,1
2020-03-27,Московская область,49
2020-03-27,Брянская область,2
2020-03-27,Карачаево-Черкесская Республика,0
2020-03-27,Астраханская область,0
2020-03-27,Забайкальский край,1
2020-03-27,Республика Хакасия,2
2020-03-27,Республика Башкортостан,4
2020-03-27,Новосибирская область,5
2020-03-27,Республика Татарстан,11
2020-03-27,Тульская область,8
2020-03-27,Мурманская область,1
2020-03-27,Севастополь,5
2020-03-27,Санкт-Петербург,26
2020-03-27,Кировская область,8
2020-03-27,Пензенская область,2
2020-03-27,Республика Марий Эл,0
2020-03-27,Волгоградская область,4
2020-03-27,Магаданская область,0
2020-03-27,Республика Саха (Якутия),14
2020-03-27,Республика Алтай,0
2020-03-27,Москва,703
2020-03-27,Свердловская область,20
2020-03-27,Тамбовская область,3
2020-03-27,Ульяновская область,1
2020-03-27,Камчатский край,0
2020-03-27,Челябинская область,5
2020-03-27,Ростовская область,2
2020-03-27,Курганская область,1
2020-03-27,Смоленская область,0
2020-03-27,Кабардино-Балкарская Республика,4
2020-03-27,Ставропольский край,5
2020-03-27,Ямало-Ненецкий автономный округ,0
2020-03-27,Чукотский автономный округ,0
2020-03-27,Краснодарский край,9
2020-03-27,Орловская область,3
2020-03-27,Ханты-Мансийский автономный округ - Югра,4
2020-03-27,Ненецкий автономный округ,0
2020-03-27,Тверская область,3
2020-03-27,Владимирская область,0
2020-03-27,Республика Северная Осетия — Алания,0
2020-03-27,Томская область,2
2020-03-27,Липецкая область,5
2020-03-27,Хабаровский край,5
2020-03-27,Республика Коми,3
2020-03-27,Республика Мордовия,2
2020-03-27,Республика Дагестан,1
2020-03-27,Белгородская область,1
2020-03-27,Республика Бурятия,2
2020-03-27,Иркутская область,0
2020-03-27,Вологодская область,0
2020-03-27,Алтайский край,0
2020-03-27,Республика Тыва,0
2020-03-27,Омская область,0
2020-03-27,Амурская область,0
2020-03-27,Нижегородская область,8
2020-03-27,Приморский край,2
2020-03-27,Красноярский край,8
2020-03-27,Калужская область,2
2020-03-27,Удмуртская Республика,4
2020-03-27,Республика Адыгея,0
2020-03-27,Ивановская область,2
2020-03-27,Республика Ингушетия,0
2020-03-27,Воронежская область,6
2020-03-27,Чеченская Республика,3
2020-03-27,Республика Калмыкия,0
2020-03-27,Калининградская область,8
2020-03-27,Костромская область,0
2020-03-27,Ленинградская область,3
2020-03-27,Ярославская область,2
2020-03-27,Республика Крым,14
2020-03-27,Кемеровская область (Кузбасс),3
2020-03-27,Курская область,0
2020-03-27,Оренбургская область,4
2020-03-27,Сахалинская область,0
2020-03-27,Архангельская область,3
2020-03-27,Псковская область,6
2020-03-28,Московская область,85
2020-03-28,Ненецкий автономный округ,0
2020-03-28,Пермский край,11
2020-03-28,Чувашская Республика,1
2020-03-28,Чукотский автономный округ,0
2020-03-28,Рязанская область,2
2020-03-28,Саратовская область,2
2020-03-28,Республика Карелия,0
2020-03-28,Новгородская область,1
2020-03-28,Тюменская область,3
2020-03-28,Самарская область,14
2020-03-28,Ямало-Ненецкий автономный округ,0
2020-03-28,Астраханская область,0
2020-03-28,Республика Хакасия,2
2020-03-28,Республика Татарстан,14
2020-03-28,Новосибирская область,7
2020-03-28,Забайкальский край,1
2020-03-28,Брянская область,3
2020-03-28,Севастополь,5
2020-03-28,Республика Алтай,0
2020-03-28,Карачаево-Черкесская Республика,0
2020-03-28,Кировская область,8
2020-03-28,Пензенская область,2
2020-03-28,Магаданская область,0
2020-03-28,Санкт-Петербург,37
2020-03-28,Мурманская область,1
2020-03-28,Волгоградская область,4
2020-03-28,Тульская область,11
2020-03-28,Республика Марий Эл,0
2020-03-28,Калининградская область,11
2020-03-28,Ростовская область,2
2020-03-28,Свердловская область,24
2020-03-28,Камчатский край,0
2020-03-28,Челябинская область,9
2020-03-28,Тамбовская область,3
2020-03-28,Кемеровская область (Кузбасс),3
2020-03-28,Ульяновская область,1
2020-03-28,Республика Коми,3
2020-03-28,Томская область,2
